Auckland International,NZAA 05R GS
Auckland International,NZAA 23L GS
Auckland International,NZAA 05R ILS-cat-I
Auckland International,NZAA 23L ILS-cat-I
Auckland International,WHENUAPAI (AUCKLAND) VOR/DME
Auckland International,AUCKLAND VOR/DME
